0,4,15,5,0,0,3,0,0,9,8,0,0,14,0,16,
2,0,7,3,0,0,0,8,0,12,14,16,6,0,11,0,
1,12,8,0,0,0,11,0,0,6,13,15,4,0,9,0,
0,16,11,0,12,13,14,15,0,3,4,0,0,0,0,8,
0,1,2,0,0,0,0,0,6,0,0,8,11,9,0,13,
0,8,0,10,0,0,6,0,11,0,1,2,14,12,0,0,
0,0,12,13,0,11,0,0,0,0,0,5,0,8,1,4,
0,0,16,0,1,9,0,2,13,0,3,0,5,6,0,7,
4,5,0,8,6,0,0,0,0,7,0,14,0,0,12,11,
0,15,0,2,5,0,0,0,12,16,0,0,0,4,6,0,
16,0,14,11,3,0,12,0,0,0,15,6,8,0,0,1,
13,0,10,12,0,0,16,1,4,8,5,0,15,7,0,0,
0,0,0,9,14,0,7,11,15,0,6,3,10,0,0,12,
0,0,4,0,0,12,0,13,0,0,0,0,3,15,5,6,
12,0,0,7,15,0,4,0,8,0,10,13,16,1,14,9,
15,0,13,16,0,0,1,0,0,5,0,4,7,11,0,2,
